1662044527;3463;12;E
1662044528;3467;6;E
1662044529;3467;12;S
1662044530;3465;1;E
1662044531;3465;4;S
1662044532;3463;8;S
1662044533;3467;8;E
1662044534;3469;12;E
1662044535;3469;4;S
1662044536;3467;12;S
1662044537;3457;5;E
1662044538;3457;6;S
1662044539;3459;12;E
1662044540;3459;5;S
1662044541;3458;6;E
1662044542;3458;4;S
1662044543;3456;1;E
1662044544;3467;8;E
1662044545;3458;8;E
1662044546;3458;6;S
1662044547;3467;5;S
1662044548;3456;8;S
1662044549;3459;8;E
1662044550;3459;12;S
1662044551;3469;5;E
1662044552;3460;8;E
1662044553;3457;6;E
1662044554;3457;1;S
1662044555;3463;1;E
1662044556;3464;1;E
1662044557;3464;1;S
1662044558;3458;8;E
1662044559;3458;8;S
1662044560;3462;8;E
1662044561;3464;1;E
1662044562;3464;12;S
1662044563;3461;4;E
1662044564;3461;1;S
1662044565;3462;4;S
1662044566;3463;4;S
1662044567;3460;8;S
1662044568;3457;8;E
1662044569;3466;8;E
1662044570;3458;5;E
1662044571;3458;1;S
1662044572;3456;12;E
1662044573;3461;6;E
1662044574;3459;8;E
1662044575;3459;8;S
1662044576;3469;8;S
1662044577;3464;4;E
1662044578;3464;1;S
1662044579;3456;6;S
1662044580;3461;5;S
1662044581;3468;12;E
1662044582;3468;5;S
1662044583;3458;5;E
1662044584;3457;1;S
1662044585;3458;6;S
1662044586;3466;5;S
1662044587;3469;6;E
1662044588;3465;1;E
1662044589;3456;5;E
1662044590;3456;6;S
1662044591;3465;4;S
1662044592;3469;5;S
1662044593;3468;12;E
1662044594;3468;1;S
1662044595;3457;4;E
1662044596;3457;12;S
1662044597;3464;12;E
1662044598;3462;5;E
1662044599;3457;5;E
1662044600;3457;1;S
1662044601;3462;12;S
1662044602;3456;4;E
1662044603;3459;12;E
1662044604;3459;8;S
1662044605;3456;12;S
1662044606;3464;12;S
1662044607;3466;6;E
1662044608;3466;8;S
1662044609;3459;5;E
1662044610;3459;6;S
1662044611;3468;4;E
1662044612;3468;4;S
1662044613;3460;1;E
1662044614;3466;8;E
1662044615;3466;12;S
1662044616;3460;6;S
1662044617;3466;6;E
1662044618;3466;6;S
1662044619;3465;12;E
1662044620;3465;8;S
1662044621;3462;12;E
1662044622;3462;1;S
1662044623;3456;8;E
1662044624;3456;5;S
1662044625;3457;8;E
1662044626;3458;5;E
1662044627;3458;5;S
1662044628;3457;8;S
1662044629;3461;8;E
1662044630;3461;4;S
1662044631;3458;5;E
1662044632;3458;8;S
1662044633;3456;12;E
1662044634;3459;8;E
1662044635;3459;6;S
1662044636;3456;8;S
1662044637;3469;12;E
1662044638;3469;6;S
1662044639;3465;1;E
1662044640;3464;5;E
1662044641;3457;1;E
1662044642;3457;12;S
1662044643;3464;1;S
1662044644;3456;1;E
1662044645;3456;5;S
1662044646;3468;4;E
1662044647;3469;5;E
1662044648;3469;4;S
1662044649;3468;8;S
1662044650;3464;4;E
1662044651;3468;8;E
1662044652;3468;12;S
1662044653;3464;1;S
1662044654;3465;5;S
1662044655;3469;4;E
1662044656;3465;1;E
1662044657;3469;5;S
1662044658;3465;12;S
1662044659;3467;12;E
1662044660;3467;1;S
1662044661;3463;1;E
1662044662;3463;8;S
1662044663;3464;12;E
1662044664;3459;12;E
1662044665;3466;5;E
1662044666;3466;8;S
1662044667;3459;6;S
1662044668;3464;12;S
1662044669;3459;6;E
1662044670;3459;6;S
1662044671;3458;5;E
1662044672;3464;5;E
1662044673;3464;1;S
1662044674;3465;8;E
1662044675;3458;8;S
1662044676;3469;12;E
1662044677;3460;1;E
1662044678;3458;6;E
1662044679;3468;1;E
1662044680;3468;8;S
1662044681;3458;8;S
1662044682;3460;12;S
1662044683;3469;6;S
1662044684;3465;12;S
1662044685;3467;1;E
1662044686;3467;5;S
1662044687;3456;1;E
1662044688;3456;1;S
1662044689;3466;1;E
1662044690;3463;5;E
1662044691;3467;4;E
1662044692;3466;1;S
1662044693;3467;5;S
1662044694;3463;8;S
1662044695;3456;5;E
1662044696;3456;8;S
1662044697;3467;8;E
1662044698;3461;8;E
1662044699;3461;5;S
1662044700;3465;1;E
1662044701;3468;6;E
1662044702;3467;12;S
1662044703;3468;6;S
1662044704;3465;8;S
1662044705;3461;5;E
1662044706;3466;4;E
1662044707;3466;4;S
1662044708;3461;8;S
1662044709;3456;4;E
1662044710;3469;8;E
1662044711;3469;5;S
1662044712;3456;6;S
1662044713;3469;8;E
1662044714;3469;6;S
1662044715;3460;6;E
1662044716;3469;8;E
1662044717;3469;5;S
1662044718;3460;4;S
1662044719;3462;12;E
1662044720;3464;4;E
1662044721;3461;1;E
1662044722;3461;12;S
1662044723;3464;5;S
1662044724;3462;1;S
1662044725;3457;12;E
1662044726;3457;4;S
1662044727;3462;4;E
1662044728;3462;5;S
1662044729;3462;4;E
1662044730;3462;12;S
1662044731;3458;1;E
1662044732;3458;8;S
1662044733;3465;6;E
1662044734;3465;4;S
1662044735;3465;5;E
1662044736;3465;12;S
1662044737;3457;4;E
1662044738;3456;1;E
1662044739;3460;12;E
1662044740;3464;1;E
1662044741;3457;1;S
1662044742;3464;5;S
1662044743;3466;12;E
1662044744;3469;1;E
1662044745;3457;1;E
1662044746;3457;5;S
1662044747;3469;6;S
1662044748;3466;1;S
1662044749;3460;1;S
1662044750;3456;4;S
1662044751;3458;4;E
1662044752;3458;1;S
1662044753;3456;5;E
1662044754;3456;1;S
1662044755;3464;8;E
1662044756;3464;6;S
1662044757;3461;4;E
1662044758;3458;5;E
1662044759;3458;1;S
1662044760;3463;1;E
1662044761;3460;5;E
1662044762;3460;1;S
1662044763;3463;8;S
1662044764;3461;12;S
1662044765;3456;12;E
1662044766;3459;6;E
1662044767;3459;1;S
1662044768;3456;6;S
1662044769;3464;1;E
1662044770;3469;6;E
1662044771;3469;5;S
1662044772;3464;5;S
1662044773;3459;1;E
1662044774;3459;1;S
1662044775;3462;5;E
1662044776;3462;8;S
1662044777;3466;4;E
1662044778;3462;6;E
1662044779;3462;4;S
1662044780;3460;4;E
1662044781;3458;4;E
1662044782;3457;1;E
1662044783;3457;4;S
1662044784;3458;1;S
1662044785;3460;5;S
1662044786;3458;6;E
1662044787;3459;4;E
1662044788;3459;8;S
1662044789;3458;8;S
1662044790;3466;1;S
1662044791;3468;4;E
1662044792;3461;6;E
1662044793;3463;6;E
1662044794;3463;12;S
1662044795;3461;12;S
1662044796;3457;12;E
1662044797;3457;6;S
1662044798;3468;6;S
1662044799;3465;6;E
1662044800;3466;12;E
1662044801;3458;8;E
1662044802;3462;12;E
1662044803;3462;1;S
